Name,Code
K/Lamido, TA01
Kurmi, TA01
Lau, TA01
Sardauna, TA01
Tarum, TA01
Ussa, TA01
Wukari, TA01
Yorro, TA01
Zing, TA01
Bade, YO01
Bursari, YO01
Damaturu, YO01
Fika, YO01
Fune, YO01
Geidam, YO01
Gogaram, YO01
Gujba, YO01
Gulani, YO01
Jakusko, YO01
Karasuwa, YO01
Machina, YO01
Nangere, YO01
Nguru, YO01
Potiskum, YO01
Tarmuwa, YO01
Yunusari, YO01
Yusufari, YO01
Yobe, YO01
Anka, ZA01
Bakura, ZA01
Birnin Magaji/Kiyaw, ZA01
Bukkuyum, ZA01
Bungudu, ZA01
Gummi, ZA01
Gusau, ZA01
Kaura Namoda, ZA01
Maradun, ZA01
Maru, ZA01
Shinkafi, ZA01
Talata Mafara, ZA01
Zurmi, ZA01
Abaji, FC01
Bwari, FC01
Gwagwalada, FC01
Kuje, FC01
Abuja Municipal, FC01
Kwali, FC01
